Date_ID,Date,Day,ISO_Week,Month,Quarter,Year,Day_of_Week,Is_US_Holiday
249,2018-09-06,6,36,9,q3,2018,thursday,False
250,2018-09-07,7,36,9,q3,2018,friday,False
251,2018-09-08,8,36,9,q3,2018,saturday,False
252,2018-09-09,9,36,9,q3,2018,sunday,False
253,2018-09-10,10,37,9,q3,2018,monday,False
254,2018-09-11,11,37,9,q3,2018,tuesday,False
255,2018-09-12,12,37,9,q3,2018,wednesday,False
256,2018-09-13,13,37,9,q3,2018,thursday,False
257,2018-09-14,14,37,9,q3,2018,friday,False
258,2018-09-15,15,37,9,q3,2018,saturday,False
259,2018-09-16,16,37,9,q3,2018,sunday,False
260,2018-09-17,17,38,9,q3,2018,monday,False
261,2018-09-18,18,38,9,q3,2018,tuesday,False
262,2018-09-19,19,38,9,q3,2018,wednesday,False
263,2018-09-20,20,38,9,q3,2018,thursday,False
264,2018-09-21,21,38,9,q3,2018,friday,False
265,2018-09-22,22,38,9,q3,2018,saturday,False
266,2018-09-23,23,38,9,q3,2018,sunday,False
267,2018-09-24,24,39,9,q3,2018,monday,False
268,2018-09-25,25,39,9,q3,2018,tuesday,False
269,2018-09-26,26,39,9,q3,2018,wednesday,False
270,2018-09-27,27,39,9,q3,2018,thursday,False
271,2018-09-28,28,39,9,q3,2018,friday,False
272,2018-09-29,29,39,9,q3,2018,saturday,False
273,2018-09-30,30,39,9,q3,2018,sunday,False
274,2018-10-01,1,40,10,q4,2018,monday,False
275,2018-10-02,2,40,10,q4,2018,tuesday,False
276,2018-10-03,3,40,10,q4,2018,wednesday,False
277,2018-10-04,4,40,10,q4,2018,thursday,False
278,2018-10-05,5,40,10,q4,2018,friday,False
279,2018-10-06,6,40,10,q4,2018,saturday,False
280,2018-10-07,7,40,10,q4,2018,sunday,False
281,2018-10-08,8,41,10,q4,2018,monday,True
282,2018-10-09,9,41,10,q4,2018,tuesday,False
283,2018-10-10,10,41,10,q4,2018,wednesday,False
284,2018-10-11,11,41,10,q4,2018,thursday,False
285,2018-10-12,12,41,10,q4,2018,friday,False
